ASEAN Food ID,Food and Description,ENERC (ENERC),WATER,PROCNT,FAT,CHOVLDF (CHOCDF),FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAA19,"Bread, wholewheat",273,33.5,11.9,5.4,41.3,5.9,2,83,-,415,137,1.9,-,-,0,0,0,0.21,0.23,2.6,-
AAA29,Corn flakes,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.3,183
AAA29,Corn flakes,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.3,183
AAA22,"Corn flakes, sugar coated",379,2.5,4,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA22,"Corn flakes, sugar coated",379,2.5,4,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA38,"Corn, whole-kernel, raw",(111),73.4,3.4,1.4,(21.1),-,0.7,10,11,1.7,-,-,11,70,0,-,-,0.1,0.18,1.1,13
AAA37,"Corn, yellow, on the cob, boiled",142,66.9,3.8,4.3,19.4,5,0.6,-,-,2.4,-,-,26,125,0,299,25,0.09,0.08,1.2,3
AAA42,"Macaroni, dried",344,11.9,12.1,0.6,70,4.9,0.5,5,41,2.2,-,-,13,66,22,0,22,0.29,0.13,2.2,0
AAA47,"Noodle, rice, dried",(353),11.3,10.5,0,(77.7),-,0.5,7,16,1.3,-,-,14,10,0,0,0,0.16,0.06,1.4,0
AAA48,"Noodle, rice, fermented, fresh ",(106),73.8,1.4,0.3,(24.3),-,0.2,47,10,-,-,-,9,49,0,0,0,0.6,-,-,-
AAA78,"Noodle, rice, vermicelli, dried ",374,6.5,6.1,0.7,85.1,1.3,0.3,13,22,2.7,-,-,5,26,0,0,0,-,-,-,-
AAA50,"Noodle, rice, fresh, kuih-teow",150,63.5,3,0.9,32.4,0.1,0.1,54,50,2.7,-,-,29,-,0,0,0,0.03,0.05,0.7,0
AAA79,"Noodle, wheat, dried, longevity (Mee-sua)",311,9.9,12.4,0.9,62.3,2.1,12.4,3067,-,1.7,-,-,19,90,-,-,-,-,-,-,-
AAA53,"Noodle, wheat, fresh",(299),27.2,12.7,3.3,(54.5),-,2.3,613,163,2,-,-,27,120,-,-,0.01,0.04,-,-,0
AAA54,"Noodle, wheat, instant, w/ flavour (different flavours)",448,4.3,10.5,20.4,53.5,4.1,7.2,1975,130,0.9,-,-,17,60,8,1,0.22,0.07,1.5,0,22
AAA61,"Rice, flour, glutinous, white",360,10.9,7.6,1.3,79.1,0.6,0.5,16,32,1.1,-,-,21,215,0,22,0.04,0.08,2.5,0,0
AAA59,"Rice, glutinous, black, polished, raw",347,12.7,8.5,2.6,69.9,4.9,1.4,2,82,3.5,-,-,20,81,36,3,0.39,0.1,2,0,0
AAA60,"Rice, glutinous, white, polished, raw",354,12.6,7.3,1.5,77.4,0.6,0.6,6,35,1.8,-,-,14,134,0,0,0.13,0.02,1.4,0,0
AAA69,"Rice, red, undermilled, raw",356,11.2,6.8,2.7,74.2,4,1.1,-,-,0.8,-,-,7,27,0,0,0.35,0.05,3.4,0,0
AAA63,"Rice, white, polished, cooked",129,67.3,2.2,0.2,29.4,0.6,0.3,20,47,0.4,-,-,19,105,0,0,0.02,0.02,0.7,0,0
